Timestamp;ContainerName;CPU_Percent;Memory_Usage_and_Limit
2025-12-01 02:06:29;amf;0.05%;11.57MiB / 15.61GiB
2025-12-01 02:06:29;chf;1.43%;14.68MiB / 15.61GiB
2025-12-01 02:06:29;ue;0.09%;1020KiB / 15.61GiB
2025-12-01 02:06:29;n3iwue;0.00%;4.027MiB / 15.61GiB
2025-12-01 02:06:29;ueransim;2.66%;6.98MiB / 15.61GiB
2025-12-01 02:06:29;n3iwf;0.00%;14.51MiB / 15.61GiB
2025-12-01 02:06:29;smf;7.75%;11.8MiB / 15.61GiB
2025-12-01 02:06:29;nssf;0.74%;7.867MiB / 15.61GiB
2025-12-01 02:06:29;udm;4.72%;10.18MiB / 15.61GiB
2025-12-01 02:06:29;pcf;4.08%;10.52MiB / 15.61GiB
2025-12-01 02:06:29;ausf;1.14%;15.28MiB / 15.61GiB
2025-12-01 02:06:29;udr;3.30%;10.2MiB / 15.61GiB
2025-12-01 02:06:29;webui;0.91%;20.33MiB / 15.61GiB
2025-12-01 02:06:29;nef;0.00%;7.941MiB / 15.61GiB
2025-12-01 02:06:29;nrf;48.26%;14.91MiB / 15.61GiB
2025-12-01 02:06:29;upf;1.80%;13.06MiB / 15.61GiB
2025-12-01 02:06:29;mongodb;4.44%;183.1MiB / 15.61GiB
2025-12-01 02:06:36;amf;0.05%;13.78MiB / 15.61GiB
2025-12-01 02:06:36;chf;6.17%;16.37MiB / 15.61GiB
2025-12-01 02:06:36;ue;0.12%;1020KiB / 15.61GiB
2025-12-01 02:06:36;n3iwue;0.00%;4.027MiB / 15.61GiB
2025-12-01 02:06:36;ueransim;28.80%;8.906MiB / 15.61GiB
2025-12-01 02:06:36;n3iwf;0.00%;14.51MiB / 15.61GiB
2025-12-01 02:06:36;smf;11.07%;17.93MiB / 15.61GiB
2025-12-01 02:06:36;nssf;0.00%;7.871MiB / 15.61GiB
2025-12-01 02:06:36;udm;0.00%;10.1MiB / 15.61GiB
2025-12-01 02:06:36;pcf;0.00%;10.43MiB / 15.61GiB
2025-12-01 02:06:36;ausf;0.00%;15.28MiB / 15.61GiB
2025-12-01 02:06:36;udr;0.00%;10.2MiB / 15.61GiB
2025-12-01 02:06:36;webui;2.67%;23.6MiB / 15.61GiB
2025-12-01 02:06:36;nef;0.00%;7.941MiB / 15.61GiB
2025-12-01 02:06:36;nrf;14.31%;13.54MiB / 15.61GiB
2025-12-01 02:06:36;upf;18.13%;17.94MiB / 15.61GiB
2025-12-01 02:06:36;mongodb;1.49%;183.1MiB / 15.61GiB
2025-12-01 02:06:43;amf;0.13%;12.21MiB / 15.61GiB
2025-12-01 02:06:43;chf;83.71%;26.69MiB / 15.61GiB
2025-12-01 02:06:43;ue;0.09%;1020KiB / 15.61GiB
2025-12-01 02:06:43;n3iwue;0.00%;4.027MiB / 15.61GiB
2025-12-01 02:06:43;ueransim;109.66%;9.34MiB / 15.61GiB
2025-12-01 02:06:43;n3iwf;0.00%;14.51MiB / 15.61GiB
2025-12-01 02:06:43;smf;71.17%;398MiB / 15.61GiB
2025-12-01 02:06:43;nssf;0.00%;7.871MiB / 15.61GiB
2025-12-01 02:06:43;udm;0.00%;10.1MiB / 15.61GiB
2025-12-01 02:06:43;pcf;0.00%;10.44MiB / 15.61GiB
2025-12-01 02:06:43;ausf;0.00%;15.28MiB / 15.61GiB
2025-12-01 02:06:43;udr;0.00%;10.2MiB / 15.61GiB
2025-12-01 02:06:43;webui;5.40%;28.29MiB / 15.61GiB
2025-12-01 02:06:43;nef;0.00%;7.941MiB / 15.61GiB
2025-12-01 02:06:43;nrf;28.15%;16.71MiB / 15.61GiB
2025-12-01 02:06:43;upf;92.68%;253.9MiB / 15.61GiB
2025-12-01 02:06:43;mongodb;2.80%;183.1MiB / 15.61GiB
2025-12-01 02:06:50;amf;0.07%;13.57MiB / 15.61GiB
2025-12-01 02:06:50;chf;87.83%;27.59MiB / 15.61GiB
2025-12-01 02:06:50;ue;0.08%;1020KiB / 15.61GiB
2025-12-01 02:06:50;n3iwue;0.00%;4.027MiB / 15.61GiB
2025-12-01 02:06:50;ueransim;98.67%;9.305MiB / 15.61GiB
2025-12-01 02:06:50;n3iwf;0.00%;14.51MiB / 15.61GiB
2025-12-01 02:06:50;smf;46.06%;734.4MiB / 15.61GiB
2025-12-01 02:06:50;nssf;0.00%;7.871MiB / 15.61GiB
2025-12-01 02:06:50;udm;0.00%;10.1MiB / 15.61GiB
2025-12-01 02:06:50;pcf;0.10%;10.44MiB / 15.61GiB
2025-12-01 02:06:50;ausf;0.00%;15.28MiB / 15.61GiB
2025-12-01 02:06:50;udr;0.00%;10.2MiB / 15.61GiB
2025-12-01 02:06:50;webui;5.37%;31.24MiB / 15.61GiB
2025-12-01 02:06:50;nef;0.00%;7.941MiB / 15.61GiB
2025-12-01 02:06:50;nrf;19.48%;16.18MiB / 15.61GiB
2025-12-01 02:06:50;upf;85.58%;468.5MiB / 15.61GiB
2025-12-01 02:06:50;mongodb;2.22%;183.1MiB / 15.61GiB
2025-12-01 02:06:58;amf;0.21%;13.99MiB / 15.61GiB
