Timestamp;ContainerName;CPU_Percent;Memory_Usage_and_Limit
2025-12-01 01:35:39;amf;0.16%;14.88MiB / 15.61GiB
2025-12-01 01:35:39;chf;124.09%;45.07MiB / 15.61GiB
2025-12-01 01:35:39;ue;0.10%;1016KiB / 15.61GiB
2025-12-01 01:35:39;n3iwue;0.00%;3.984MiB / 15.61GiB
2025-12-01 01:35:39;ueransim;0.20%;10.64MiB / 15.61GiB
2025-12-01 01:35:39;n3iwf;0.00%;14.83MiB / 15.61GiB
2025-12-01 01:35:39;smf;2.13%;5.145GiB / 15.61GiB
2025-12-01 01:35:39;nssf;0.00%;7.863MiB / 15.61GiB
2025-12-01 01:35:39;udm;0.00%;8.996MiB / 15.61GiB
2025-12-01 01:35:39;pcf;0.00%;9.609MiB / 15.61GiB
2025-12-01 01:35:39;ausf;0.00%;14.93MiB / 15.61GiB
2025-12-01 01:35:39;udr;0.00%;9.254MiB / 15.61GiB
2025-12-01 01:35:39;webui;1.30%;66.43MiB / 15.61GiB
2025-12-01 01:35:39;nef;0.00%;7.125MiB / 15.61GiB
2025-12-01 01:35:39;nrf;2.16%;13.64MiB / 15.61GiB
2025-12-01 01:35:39;upf;0.15%;206.5MiB / 15.61GiB
2025-12-01 01:35:39;mongodb;0.49%;168.1MiB / 15.61GiB
2025-12-01 01:35:46;amf;0.00%;14.88MiB / 15.61GiB
2025-12-01 01:35:46;chf;121.81%;39.98MiB / 15.61GiB
2025-12-01 01:35:46;ue;0.09%;1016KiB / 15.61GiB
2025-12-01 01:35:46;n3iwue;0.00%;3.984MiB / 15.61GiB
2025-12-01 01:35:46;ueransim;0.17%;10.64MiB / 15.61GiB
2025-12-01 01:35:46;n3iwf;0.00%;14.83MiB / 15.61GiB
2025-12-01 01:35:46;smf;1.94%;5.145GiB / 15.61GiB
2025-12-01 01:35:46;nssf;0.21%;7.863MiB / 15.61GiB
2025-12-01 01:35:46;udm;0.00%;8.996MiB / 15.61GiB
2025-12-01 01:35:46;pcf;0.00%;9.613MiB / 15.61GiB
2025-12-01 01:35:46;ausf;0.00%;14.93MiB / 15.61GiB
2025-12-01 01:35:46;udr;0.00%;9.254MiB / 15.61GiB
2025-12-01 01:35:46;webui;1.16%;66.45MiB / 15.61GiB
2025-12-01 01:35:46;nef;0.00%;7.125MiB / 15.61GiB
2025-12-01 01:35:46;nrf;2.30%;13.76MiB / 15.61GiB
2025-12-01 01:35:46;upf;0.19%;206.5MiB / 15.61GiB
2025-12-01 01:35:46;mongodb;0.43%;168.1MiB / 15.61GiB
2025-12-01 01:35:53;amf;0.39%;14.88MiB / 15.61GiB
2025-12-01 01:35:53;chf;127.69%;42.43MiB / 15.61GiB
2025-12-01 01:35:53;ue;0.08%;1016KiB / 15.61GiB
2025-12-01 01:35:53;n3iwue;0.00%;3.984MiB / 15.61GiB
2025-12-01 01:35:53;ueransim;74.08%;32.35MiB / 15.61GiB
2025-12-01 01:35:53;n3iwf;0.00%;14.83MiB / 15.61GiB
2025-12-01 01:35:53;smf;34.70%;5.145GiB / 15.61GiB
2025-12-01 01:35:53;nssf;0.00%;7.863MiB / 15.61GiB
2025-12-01 01:35:53;udm;0.00%;8.996MiB / 15.61GiB
2025-12-01 01:35:53;pcf;0.00%;9.609MiB / 15.61GiB
2025-12-01 01:35:53;ausf;0.00%;14.96MiB / 15.61GiB
2025-12-01 01:35:53;udr;0.07%;9.25MiB / 15.61GiB
2025-12-01 01:35:53;webui;1.29%;66.42MiB / 15.61GiB
2025-12-01 01:35:53;nef;0.00%;7.125MiB / 15.61GiB
2025-12-01 01:35:53;nrf;2.09%;13.79MiB / 15.61GiB
2025-12-01 01:35:53;upf;96.27%;329.7MiB / 15.61GiB
2025-12-01 01:35:53;mongodb;0.55%;168.1MiB / 15.61GiB
2025-12-01 01:36:00;amf;0.00%;14.88MiB / 15.61GiB
2025-12-01 01:36:00;chf;122.32%;43.79MiB / 15.61GiB
2025-12-01 01:36:00;ue;0.09%;1016KiB / 15.61GiB
2025-12-01 01:36:00;n3iwue;0.00%;3.984MiB / 15.61GiB
2025-12-01 01:36:00;ueransim;77.83%;247.3MiB / 15.61GiB
2025-12-01 01:36:00;n3iwf;0.00%;14.83MiB / 15.61GiB
2025-12-01 01:36:00;smf;39.78%;5.473GiB / 15.61GiB
2025-12-01 01:36:00;nssf;0.00%;7.863MiB / 15.61GiB
2025-12-01 01:36:00;udm;0.00%;8.996MiB / 15.61GiB
2025-12-01 01:36:00;pcf;0.00%;9.609MiB / 15.61GiB
2025-12-01 01:36:00;ausf;0.00%;14.96MiB / 15.61GiB
2025-12-01 01:36:00;udr;0.00%;9.25MiB / 15.61GiB
2025-12-01 01:36:00;webui;0.98%;66.42MiB / 15.61GiB
