Timestamp;ContainerName;CPU_Percent;Memory_Usage_and_Limit
2025-12-10 01:38:11;ue;0.08%;988KiB / 15.61GiB
2025-12-10 01:38:11;n3iwue;0.00%;384KiB / 15.61GiB
2025-12-10 01:38:11;ueransim;2.48%;7.141MiB / 15.61GiB
2025-12-10 01:38:11;n3iwf;0.00%;14.55MiB / 15.61GiB
2025-12-10 01:38:11;chf;0.34%;13.68MiB / 15.61GiB
2025-12-10 01:38:11;udr;2.34%;11.68MiB / 15.61GiB
2025-12-10 01:38:11;udm;2.66%;12.62MiB / 15.61GiB
2025-12-10 01:38:11;nssf;0.32%;8.051MiB / 15.61GiB
2025-12-10 01:38:11;smf;5.04%;13.2MiB / 15.61GiB
2025-12-10 01:38:11;webui;0.42%;16.02MiB / 15.61GiB
2025-12-10 01:38:11;amf;3.24%;15.68MiB / 15.61GiB
2025-12-10 01:38:11;ausf;0.36%;15.87MiB / 15.61GiB
2025-12-10 01:38:11;pcf;2.51%;11.74MiB / 15.61GiB
2025-12-10 01:38:11;nef;0.00%;7.441MiB / 15.61GiB
2025-12-10 01:38:11;nrf;18.56%;17.49MiB / 15.61GiB
2025-12-10 01:38:11;mongodb;2.07%;166.6MiB / 15.61GiB
2025-12-10 01:38:11;upf;2.40%;8.469MiB / 15.61GiB
2025-12-10 01:38:18;ue;0.10%;988KiB / 15.61GiB
2025-12-10 01:38:18;n3iwue;0.00%;384KiB / 15.61GiB
2025-12-10 01:38:18;ueransim;0.48%;7.438MiB / 15.61GiB
2025-12-10 01:38:18;n3iwf;0.00%;14.55MiB / 15.61GiB
2025-12-10 01:38:18;chf;0.00%;13.7MiB / 15.61GiB
2025-12-10 01:38:18;udr;0.00%;11.97MiB / 15.61GiB
2025-12-10 01:38:18;udm;0.00%;13.01MiB / 15.61GiB
2025-12-10 01:38:18;nssf;0.00%;8.172MiB / 15.61GiB
2025-12-10 01:38:18;smf;0.00%;13.93MiB / 15.61GiB
2025-12-10 01:38:18;webui;0.40%;16.38MiB / 15.61GiB
2025-12-10 01:38:18;amf;0.05%;15.28MiB / 15.61GiB
2025-12-10 01:38:18;ausf;0.00%;16.29MiB / 15.61GiB
2025-12-10 01:38:18;pcf;0.00%;12.04MiB / 15.61GiB
2025-12-10 01:38:18;nef;0.00%;7.441MiB / 15.61GiB
2025-12-10 01:38:18;nrf;1.21%;13.67MiB / 15.61GiB
2025-12-10 01:38:18;mongodb;0.31%;166.6MiB / 15.61GiB
2025-12-10 01:38:18;upf;0.04%;8.695MiB / 15.61GiB
2025-12-10 01:38:25;ue;0.11%;988KiB / 15.61GiB
2025-12-10 01:38:25;n3iwue;0.00%;384KiB / 15.61GiB
2025-12-10 01:38:25;ueransim;37.94%;10.39MiB / 15.61GiB
2025-12-10 01:38:25;n3iwf;0.00%;14.55MiB / 15.61GiB
2025-12-10 01:38:25;chf;81.80%;25.64MiB / 15.61GiB
2025-12-10 01:38:25;udr;0.00%;11.98MiB / 15.61GiB
2025-12-10 01:38:25;udm;0.00%;13.01MiB / 15.61GiB
2025-12-10 01:38:25;nssf;0.00%;8.172MiB / 15.61GiB
2025-12-10 01:38:25;smf;71.59%;284.2MiB / 15.61GiB
2025-12-10 01:38:25;webui;5.97%;19.45MiB / 15.61GiB
2025-12-10 01:38:25;amf;0.16%;16.53MiB / 15.61GiB
2025-12-10 01:38:25;ausf;0.00%;16.29MiB / 15.61GiB
2025-12-10 01:38:25;pcf;0.00%;12.05MiB / 15.61GiB
2025-12-10 01:38:25;nef;0.00%;7.441MiB / 15.61GiB
2025-12-10 01:38:25;nrf;25.89%;17.05MiB / 15.61GiB
2025-12-10 01:38:25;mongodb;2.36%;166.6MiB / 15.61GiB
2025-12-10 01:38:25;upf;104.39%;180MiB / 15.61GiB
2025-12-10 01:38:32;ue;0.08%;988KiB / 15.61GiB
2025-12-10 01:38:32;n3iwue;0.00%;384KiB / 15.61GiB
2025-12-10 01:38:32;ueransim;36.43%;10.39MiB / 15.61GiB
2025-12-10 01:38:32;n3iwf;0.00%;14.55MiB / 15.61GiB
2025-12-10 01:38:32;chf;90.69%;25.45MiB / 15.61GiB
2025-12-10 01:38:32;udr;0.00%;11.98MiB / 15.61GiB
2025-12-10 01:38:32;udm;0.00%;13.01MiB / 15.61GiB
2025-12-10 01:38:32;nssf;0.00%;8.172MiB / 15.61GiB
2025-12-10 01:38:32;smf;40.20%;659.4MiB / 15.61GiB
2025-12-10 01:38:32;webui;4.80%;19.99MiB / 15.61GiB
2025-12-10 01:38:32;amf;0.06%;14.69MiB / 15.61GiB
2025-12-10 01:38:32;ausf;0.00%;16.29MiB / 15.61GiB
